,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
5003,Honda,City,SV,2014,Delhi,First,"77,000",Petrol,Manual,"5,75,000"
5004,Honda,City,SV,2014,Delhi,First,"62,066",Petrol,Automatic,"5,50,000"
5005,Maruti Suzuki,Swift,ZXi Plus AMT ,2018,Delhi,First,"20,000",Petrol,Automatic,"7,30,000"
5006,Volkswagen,Passat,Highline,2018,Delhi,First,"65,000",Diesel,Automatic,"21,00,000"
5007,Audi,A4,30 TFSI Premium Plus,2017,Delhi,First,"98,000",Petrol,Manual,"21,75,000"
5008,BMW,5-Series,520d Sport Line,2018,Delhi,First,"45,000",Diesel,Manual,"39,75,000"
5009,Mercedes-Benz,GLE,250 d,2017,Delhi,First,"37,000",Diesel,Automatic,"46,75,000"
5010,Jaguar,F-Pace,Prestige,2018,Delhi,First,"47,000",Diesel,Automatic,"46,75,000"
5011,Honda,City,SV,2014,Delhi,First,"55,000",Petrol,Automatic,"5,80,000"
5012,Honda,City,S,2016,Delhi,First,"58,000",Petrol,Manual,"6,50,000"
5013,Hyundai,Grand i10,Asta 1.2 Kappa VTVT ,2014,Delhi,Second,"53,000",Petrol,Automatic,"3,59,000"
5014,BMW,5-Series,520d Sedan,2013,Delhi,Second,"1,17,009",Diesel,Automatic,"10,90,000"
5015,BMW,X1,sDrive20d Expedition,2017,Delhi,First,"80,000",Diesel,Automatic,"18,25,000"
5016,Mercedes-Benz,E-Class,E 220d Exclusive ,2019,Delhi,First,"25,000",Diesel,Automatic,"54,00,000"
5017,Mercedes-Benz,E-Class,E 220 d Avantgarde,2019,Delhi,First,"24,000",Diesel,Automatic,"55,00,000"
5018,Mercedes-Benz,GLE,250 d,2018,Delhi,First,"48,000",Diesel,Automatic,"54,00,000"
5019,Mercedes-Benz,C-Class,C 220d Progressive ,2020,Delhi,First,"28,000",Diesel,Automatic,"45,00,000"
5020,Hyundai,i10,1.1L iRDE Magna Special Edition,2014,Noida,First,"69,000",Petrol,Automatic,"3,20,000"
5021,Maruti Suzuki,Wagon R,LXi,2011,Noida,Second,"48,000",Petrol,Manual,"2,10,000"
5022,BMW,3-Series,320d Luxury Line,2019,Delhi,First,"35,000",Diesel,Automatic,"31,00,000"
5023,Kia,Carnival,Limousine Plus 7 STR,2021,Delhi,First,"18,000",Diesel,Manual,"33,00,000"
5024,BMW,X1,sDrive20d Expedition,2017,Delhi,First,"80,000",Diesel,Automatic,"18,25,000"
5025,Mercedes-Benz,E-Class,E 220d Exclusive ,2019,Delhi,First,"25,000",Diesel,Automatic,"54,00,000"
5026,Toyota,Innova,2.7 ZX AT 7 STR,2017,Delhi,First,"17,000",Petrol,Manual,"19,00,000"
5027,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt AT,2014,Delhi,First,"52,000",Petrol,Manual,"5,90,000"
5028,Maruti Suzuki,Swift,VXi,2010,Ghaziabad,First,"88,326",Petrol,Automatic,"2,34,000"
5029,Jaguar,XJ,3.0 Portfolio,2017,Delhi,Second,"35,000",Diesel,Automatic,"44,50,000"
5030,Maruti Suzuki,Swift DZire,VXI,2013,Delhi,Second,"32,000",Petrol,Automatic,"3,75,000"
5031,MINI,Countryman,Cooper D High,2014,Delhi,First,"5,500",Diesel,Automatic,"19,75,000"
5032,Mercedes-Benz,GLE,250 d,2018,Delhi,First,"48,000",Diesel,Manual,"51,00,000"
5033,Maruti Suzuki,Alto,VXi,2011,Ghaziabad,First,"28,362",Petrol,Manual,"1,93,000"
5034,Mercedes-Benz,C-Class,C 220 CDI Avantgarde,2015,Delhi,First,"48,000",Diesel,Manual,"22,00,000"
5035,Maruti Suzuki,Alto,LXi CNG ,2015,Noida,First,"56,000",CNG,Manual,"3,15,000"
5036,BMW,X1,sDrive20d xLine,2017,Delhi,Second,"44,550",Diesel,Manual,"23,50,000"
5037,Maruti Suzuki,Estilo,LXi BS-IV,2010,Noida,First,"89,000",Petrol,Automatic,"1,65,000"
